filename,chroma_stft_mean,rms_mean,spectral_centroid_mean,spectral_bandwidth_mean,rolloff_mean,zero_crossing_rate_mean,harmonic_mean,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,label
blues.00000.0.wav,0.335406363,0.1304050237,1773.065032,1972.744388,3714.560359,0.08185096154,-7.85E-05,129.1992188,-118.6279144,125.0836258,-23.44372368,41.32148361,-5.976108074,20.11514091,-16.04541016,17.85519791,-14.6334343,10.27052689,-9.708278656,10.18387508,-4.681614399,8.417439461,-7.233476639,-2.853603363,-3.241280317,0.7222089767,-5.050335407,-0.243026793,blues
blues.00000.1.wav,0.3430653512,0.1126992479,1816.693777,2010.051501,3869.682242,0.08717322716,-9.89E-05,123.046875,-125.5907059,122.4212265,-20.71801949,50.12838745,-11.3333025,21.38540077,-15.96079636,19.45410347,-12.46591759,17.89816856,-11.73255444,8.145000458,-7.717750549,8.39715004,-8.30049324,4.074709415,-6.055294037,0.1590154767,-2.837698936,5.784063339,blues
blues.00000.2.wav,0.3468147516,0.1320033818,1788.539719,2084.565132,3997.63916,0.07138296274,-6.56E-05,123.046875,-132.4419403,115.0851746,-14.81166649,50.18929291,-0.6808194518,24.65037537,-13.50610447,15.64338589,-13.21663666,10.40602493,-7.991464615,11.8539629,-4.677677155,6.571109772,-2.42475009,4.806280136,-1.768609762,2.378768206,-1.938424468,2.517374754,blues
blues.00000.3.wav,0.3636387885,0.1325647235,1655.289045,1960.039988,3568.300218,0.06942608173,-1.38E-05,123.046875,-118.2310867,132.1165009,-18.75833511,39.76930618,-13.26042557,20.46813393,-14.56344795,18.74510384,-13.75546265,12.99375916,-12.64888668,10.3893137,-4.362738609,9.15619278,-9.88944149,-1.359110713,-3.841154575,1.218587518,-3.580352068,3.630866051,blues
blues.00000.4.wav,0.3355794251,0.1432888061,1630.656199,1948.503884,3469.992864,0.07009465144,4.05E-05,123.046875,-105.9683762,134.6436462,-19.96174812,40.17175293,-14.27193928,18.73461723,-15.61938095,19.20796585,-18.274683,14.31669331,-5.792194366,17.04543686,-5.681398869,5.705521107,-7.98608017,2.092937469,0.6645822525,1.689446449,-3.392489195,0.5369608998,blues
blues.00000.5.wav,0.3766697347,0.1326178014,1994.915219,2152.767854,4371.985614,0.0924203726,-3.95E-05,129.1992188,-100.7527924,111.5099792,-13.61438179,47.21832275,-12.2998085,19.72477341,-13.57834816,15.33759975,-12.42359352,12.25274181,-10.47211456,9.367176056,-3.419892788,6.704868793,-6.999777317,2.127198458,-3.448373079,-0.4161648154,-3.649624825,3.025217772,blues
blues.00000.6.wav,0.3799087405,0.1303347796,1962.150096,2146.503479,4325.026668,0.08957331731,-5.29E-05,123.046875,-101.7730331,117.0103302,-20.8125782,42.7965889,-9.790636063,22.84912491,-16.34083939,18.39141464,-16.10074997,15.3352108,-10.30678368,11.56977177,-7.937484741,7.370623589,-5.658714771,4.893660069,-2.068194389,1.428140759,-3.267124176,3.276938677,blues
blues.00000.7.wav,0.3318799436,0.1406003237,1701.890924,1979.387612,3625.280386,0.0709359976,1.90E-05,123.046875,-109.1650772,127.6955109,-20.28654671,38.8380127,-12.6581049,17.81919289,-16.39320946,16.74455833,-17.36836243,11.82099247,-9.058530807,11.66859627,-4.24179554,7.482486725,-5.039710045,3.122666597,-3.637886047,-0.1051477268,-2.016984701,0.2107869685,blues
blues.00000.8.wav,0.3478773832,0.1331299096,1746.473502,1887.619723,3586.934721,0.08766902043,-8.14E-05,123.046875,-113.3731995,129.0392151,-31.37776375,42.99452972,-6.005670071,19.90250587,-18.3959446,18.18878555,-13.09365082,13.78528595,-10.41704845,8.280641556,-7.179648399,5.982778072,-9.880797386,-0.2859360278,-4.370028973,2.114592075,-2.264662981,3.758598328,blues
blues.00000.9.wav,0.358061254,0.1153120622,1763.948942,1874.19571,3505.522649,0.1017765925,-0.0001172478806,123.046875,-125.5329056,126.7649002,-32.45678711,53.6588974,-1.761399508,23.6238327,-20.04943466,15.45357227,-13.67712402,11.42565823,-15.09278393,9.418168068,-4.564155102,9.792022705,-4.36627388,6.691686153,-3.448303699,0.0997915417,-7.677177429,0.7917756438,blues
blues.00001.0.wav,0.4024008811,0.0930236727,1279.182242,1921.306192,2890.252779,0.03956580529,2.50E-05,103.359375,-266.1217957,116.8572388,17.0766468,45.6978302,15.69332981,24.93919754,-1.233360171,23.80738449,-1.49513483,11.28184795,0.5579402447,9.954864502,0.7953884602,5.293601513,-3.012172699,1.636674047,1.26341629,0.1364108175,-0.8838230968,0.3753026426,blues
blues.00001.1.wav,0.3455072641,0.09465641528,1513.763969,2091.432928,3479.185885,0.04999248798,8.26E-06,67.99958882,-202.1073914,129.0462494,8.825742722,36.38154602,-8.443789482,20.63302994,-14.32991123,30.41994858,-14.99320698,11.48940086,-7.494359493,12.80401134,-2.04036808,13.50175762,-2.568240166,3.572616339,-4.85722971,-2.13233614,-0.1706574559,-1.455821037,blues
blues.00001.2.wav,0.3381186426,0.09777601808,1308.869728,1508.008806,2557.067871,0.07730243389,0.0002152504021,107.6660156,-197.394104,150.9012756,-32.46928406,45.2412796,9.385962486,11.12681961,-7.26054287,20.82826424,-4.38657093,11.63818741,-5.121063709,1.917724371,-6.936242104,0.3453466296,-10.29862881,-4.75358963,4.59270525,4.732940674,-1.33646071,2.067705393,blues
blues.00001.3.wav,0.330750525,0.08536521345,1479.530348,1906.454247,3227.992788,0.05588566707,0.0001563941187,112.3471467,-228.1946259,135.9448242,0.3420464694,32.42229462,4.057207584,29.95829773,-10.39888668,19.26864815,-11.1117115,12.9614315,-5.118911743,8.267863274,-6.688559055,0.518777132,-5.693352699,4.529815197,-0.9364316463,-1.938492417,-4.223902225,-2.418840647,blues
blues.00001.4.wav,0.3480269909,0.08843706548,1729.640428,2150.738315,4099.673415,0.06530198317,0.0001949275902,161.4990234,-205.4572754,123.7420807,2.347721577,32.70881271,-4.650785923,26.74191856,-18.54672623,27.41719246,-15.70047474,16.94741821,1.062490463,16.69956398,-3.756741285,3.873071909,-9.060052872,5.399942875,0.1011087298,-0.02637423016,-3.079429626,2.897624254,blues
blues.00001.5.wav,0.3294350207,0.09320095927,1492.089309,2189.638968,3682.591834,0.03780423678,0.0001843342325,184.5703125,-223.8473511,124.0325928,20.93010139,40.50452042,-2.709390402,28.33318901,-11.69336224,26.81420708,-15.44390774,15.18697643,-15.46773148,6.059954643,-1.643301845,4.835083008,-8.982372284,3.636934757,-1.117380857,-0.1969717145,-0.722147882,2.487024069,blues
blues.00001.6.wav,0.3436661959,0.08978274465,1571.420445,2183.513315,3832.247596,0.05181039663,0.0001660025009,107.6660156,-219.9898376,122.5457001,14.56228924,43.27946854,2.477446318,25.57522964,-12.69364166,24.5007782,-14.86262321,18.47591591,-13.28708267,4.723536015,-1.763685107,7.235404968,-8.217870712,2.254526615,-0.5725805163,-0.87711972,-3.196097136,1.792135477,blues
blues.00001.7.wav,0.3277317584,0.1106326506,1877.638297,2326.810264,4509.135554,0.07060171274,0.000220068061,69.83741554,-170.4571991,114.4307556,14.51421642,32.82727051,-8.256227493,26.03360176,-14.01581478,26.92409515,-16.80413818,17.88919067,-11.07048512,3.959326744,-4.365441799,7.168212891,-7.254513741,2.492059946,-4.773519993,1.114042044,-1.074144363,-0.4781548083,blues
blues.00001.8.wav,0.3294280469,0.1110127047,1665.600276,2168.031814,3973.041617,0.05913461538,0.0001595693611,103.359375,-166.230545,124.0682526,5.621678829,42.00278473,-8.929672241,22.54095459,-16.07038307,33.06456757,-18.37011147,13.67587185,-12.44553089,3.349158764,-5.327374935,7.79715538,-8.380069733,2.096568346,-6.817121983,6.55015564,6.00354147,2.775559664,blues
blues.00001.9.wav,0.2929868698,0.09492405504,1373.437553,1929.319087,3187.907903,0.04711914063,1.97E-05,66.25600962,-218.0086517,133.7682037,4.972542763,37.68063354,0.395403713,26.33438301,-5.369715691,24.72407532,-10.18464947,9.639338493,-5.819674969,3.0501647,-5.854187012,4.743721485,-8.163812637,-1.124141932,-2.53845787,3.124925375,-0.4632926583,2.491398811,blues
blues.00002.0.wav,0.3666137755,0.1522057503,1676.978191,1794.856236,3297.561599,0.07798602764,1.15E-06,161.4990234,-114.2937241,129.3975372,-25.80622101,34.96403885,-17.72755051,27.80501175,-16.66075706,5.090714455,-13.24516296,5.501215458,-17.41964531,1.960214734,-8.868472099,-3.890743971,-9.505934715,3.021481037,-7.209031105,-2.819872379,-2.062507391,-4.214690208,blues
blues.00002.1.wav,0.3844611049,0.1674048156,1337.448514,1658.057449,2662.497746,0.05928485577,-1.23E-05,161.4990234,-104.854248,153.0832062,-22.9850769,35.38069534,-17.69362831,24.9617157,-9.778364182,15.72906685,-10.3450737,8.05488205,-11.90211487,7.537589073,-8.233939171,-1.108559251,-9.467980385,3.654360771,-7.399891853,-0.4099535346,-1.283556938,-0.6427564621,blues
blues.00002.2.wav,0.3790428042,0.1762369275,1590.857591,1779.645051,3222.940768,0.07430889423,6.77E-06,161.4990234,-83.08711243,142.3463745,-30.51600838,35.83057022,-20.53476715,29.35681343,-16.26589584,12.74981403,-13.43964481,10.93247223,-13.20620346,5.126758099,-9.080746651,1.182515979,-6.601735592,4.553994179,-8.32930088,-3.105309963,-4.471606255,-1.41684866,blues
blues.00002.3.wav,0.3970779479,0.1777229905,1436.270424,1690.135527,2860.768855,0.06526442308,5.00E-05,161.4990234,-88.1908493,151.4520569,-29.35560417,36.71537781,-18.03777313,27.03862572,-12.60909557,15.89809799,-12.89093399,10.95849133,-12.83066559,8.346250534,-10.41784286,-0.7350136042,-9.735797882,5.81421566,-5.423680305,2.942566633,-0.3606611788,-1.046457291,blues
blues.00002.4.wav,0.3606832922,0.1839025319,1540.099772,1726.643189,3057.466384,0.0767578125,1.22E-05,161.4990234,-84.44549561,145.1945343,-32.49907303,36.91693497,-18.7141819,27.36281395,-14.73155403,12.05770206,-13.05260468,9.008962631,-16.87350845,3.791143417,-8.549181938,-3.248631001,-11.56833458,1.501840353,-9.87087059,-2.01319766,-4.39990139,-3.156466484,blues
blues.00002.5.wav,0.3640353084,0.1523639411,1594.920885,1730.746723,3174.573881,0.07379432091,-3.28E-05,151.9990809,-119.5306473,138.1547546,-31.94019318,41.25550842,-15.01960087,26.62979317,-17.99194717,7.266447544,-15.0028429,8.480869293,-18.07271957,2.447080612,-8.333150864,-0.5477054119,-9.099303246,4.164388657,-10.06425762,-2.628008604,-2.4018085,-0.9676322341,blues
blues.00002.6.wav,0.2995894849,0.1707902104,1396.794527,1517.311972,2552.76123,0.07764423077,2.85E-05,161.4990234,-104.7724075,155.530838,-41.44383621,28.03311539,-13.97769833,23.50022507,-12.34863091,9.728488922,-11.99046612,9.311973572,-13.44075203,4.117262363,-6.104027271,-2.892196894,-11.40543652,-0.2382405251,-11.98658371,-6.356915474,-7.920033455,-0.4121271968,blues
